#options: 1440x1062 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=18 lookahead_threads=8 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=8 b_pyramid=2 b_adapt=2 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=60 rc=abr mbtree=1 bitrate=3500 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=4000 vbv_bufsize=7000 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:125 out:127 type:b dur:2 cpbdur:2 q:24.39 aq:20.06 tex:2485 mv:2047 misc:1860 imb:10 pmb:321 smb:5699 d:s ref:0 ;
in:127 out:128 type:b dur:2 cpbdur:2 q:24.39 aq:17.96 tex:666 mv:711 misc:1311 imb:1 pmb:212 smb:5817 d:- ref:0 ;
in:128 out:129 type:b dur:2 cpbdur:2 q:24.39 aq:18.87 tex:1532 mv:1051 misc:1401 imb:5 pmb:198 smb:5827 d:- ref:0 ;
in:136 out:130 type:P dur:2 cpbdur:2 q:24.53 aq:16.44 tex:200063 mv:17927 misc:4970 imb:263 pmb:3407 smb:2360 d:s ref:0 ;
in:132 out:131 type:B dur:2 cpbdur:2 q:24.63 aq:18.75 tex:24368 mv:11403 misc:4701 imb:28 pmb:1870 smb:4132 d:s ref:0 ;
in:130 out:132 type:b dur:2 cpbdur:2 q:24.63 aq:19.38 tex:1598 mv:1198 misc:1404 imb:5 pmb:208 smb:5817 d:s ref:0 ;
in:131 out:133 type:b dur:2 cpbdur:2 q:24.63 aq:19.66 tex:1939 mv:950 misc:1463 imb:5 pmb:217 smb:5808 d:s ref:0 ;
in:133 out:134 type:b dur:2 cpbdur:2 q:24.63 aq:18.25 tex:681 mv:398 misc:1137 imb:0 pmb:160 smb:5870 d:- ref:0 ;
in:134 out:135 type:b dur:2 cpbdur:2 q:24.63 aq:20.41 tex:1866 mv:1412 misc:1810 imb:7 pmb:292 smb:5731 d:- ref:0 ;
in:135 out:136 type:b dur:2 cpbdur:2 q:24.63 aq:19.29 tex:1722 mv:1135 misc:1599 imb:7 pmb:236 smb:5787 d:- ref:0 ;
in:141 out:137 type:P dur:2 cpbdur:2 q:24.70 aq:17.12 tex:130451 mv:13600 misc:4957 imb:134 pmb:2764 smb:3132 d:s ref:0 ;
in:138 out:138 type:B dur:2 cpbdur:2 q:24.78 aq:18.87 tex:10031 mv:5079 misc:3594 imb:29 pmb:912 smb:5089 d:s ref:0 ;
in:137 out:139 type:b dur:2 cpbdur:2 q:24.77 aq:19.87 tex:1556 mv:955 misc:1401 imb:7 pmb:194 smb:5829 d:s ref:0 ;
in:139 out:140 type:b dur:2 cpbdur:2 q:24.78 aq:17.51 tex:691 mv:446 misc:1135 imb:1 pmb:162 smb:5867 d:- ref:0 ;
in:140 out:141 type:b dur:2 cpbdur:2 q:24.78 aq:21.50 tex:2471 mv:1278 misc:1483 imb:5 pmb:233 smb:5792 d:- ref:0 ;
in:144 out:142 type:P dur:2 cpbdur:2 q:24.76 aq:17.20 tex:119922 mv:12318 misc:4816 imb:129 pmb:2454 smb:3447 d:s ref:0 ;
in:142 out:143 type:B dur:2 cpbdur:2 q:25.08 aq:19.97 tex:3658 mv:2153 misc:1845 imb:4 pmb:319 smb:5707 d:s ref:0 ;
in:143 out:144 type:b dur:2 cpbdur:2 q:25.13 aq:20.52 tex:2531 mv:1452 misc:1577 imb:2 pmb:263 smb:5765 d:- ref:0 ;
in:148 out:145 type:P dur:2 cpbdur:2 q:23.83 aq:17.32 tex:96501 mv:11491 misc:5024 imb:123 pmb:2420 smb:3487 d:s ref:0 ;
in:146 out:146 type:B dur:2 cpbdur:2 q:24.87 aq:19.93 tex:4161 mv:2539 misc:2380 imb:6 pmb:472 smb:5552 d:s ref:0 ;
